id,order_status,total_price,order_paid,day,time,quantity,product_id,product_name,unit,mode_delivery,merchant_id,productImg
33,7,16,0,Tue,2:55:58 PM,1,29,Almond Butter,Unit,2,26,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/26-1598338281196.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T065527Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=de53812cec08b2b44f28ee0e7a20be0f959ab2c39cecc080c2e328c8fd5a1e2a\"""
40,7,160,0,Tue,3:11:09 PM,1,31,Kasut second hand,Unit,2,27,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/27-1598338459528.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T071028Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=503f6ded2bc3b18e05c5ca03a70cf397ec609a438a53a02dd08db992bf1338d8\"""
43,7,50,0,Tue,3:17:58 PM,1,33,Meja terpakai,Unit,1,27,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/27-1598338774144.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T071742Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=1129e1aa74503f18d8a70786516c542c2b543f27888dc014d03cdab18e551d36\"""
47,4,550,0,Tue,3:53:37 PM,1,34,Peti ais dan coway (combo),Unit,2,29,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/29-1598341707734.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T075254Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=cde077d69344442bb97f0f10070d3fbe9c87a8da2a2607e7fefa3b47e259ffd9\"""
49,8,6,0,Tue,4:04:50 PM,2,35,Jus Buah Naga,Unit,1,28,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/28-1598341961367.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T080425Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=04d2ef1c53c61a46365a70c105e17b69fd0f6bf284b56dfa9d65b2471a6438d3\"""
53,7,80,0,Tue,4:31:11 PM,5,30,Peanut Butter,Unit,1,26,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/26-1598338377610.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200825%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200825T083052Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=4e20a926d2d11d245087e0206ce50b2770814ec22b3844ebce86eb0e447b0552\"""
64,4,0,0,Wed,3:22:07 PM,0,34,Peti ais dan coway (combo),Unit,2,29,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/29-1598341707734.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200909%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200909T072149Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=9df91af7686614d0c0e590dc04fdeef6f37db7e8414394daed8d16f858529ef6\"""
80,7,6,0,Wed,4:30:02 PM,2,35,Jus Buah Naga,Unit,2,28,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/28-1598341961367.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20200923%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20200923T082939Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=ba8d7001eb8a39e19dd8e1edbce49e7318a07c67906733a1d8232b5055bba48d\"""
87,4,3,0,Wed,6:37:43 PM,1,35,Jus Buah Naga,Unit,1,28,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/28-1598341961367.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201014%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201014T103730Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=579109d1dcdd0d11ce66811ab3a4ae6fe046d4fe890c81190361ce9f8f6d539f\"""
88,11,33,1,Thu,6:31:31 PM,3,80,Mini Jumbo Chilled Latte,Unit,1,63,"https://prod-emeniaga.s3.ap-southeast-1.amazonaws.com/product_photo/63-1602755490028.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYIKU5V3ERKVOQKOL%2F20201015%2Fap-southeast-1%2Fs3%2Faws4_request&X-Amz-Date=20201015T103028Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Signature=ff37322ea5fab1a176bfd5f69d7592e27137efcf0e3e7d9759040e6a571b0ee7\"""
